epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1841.9,3.41061,4.97212,4.07156,0.00067,0.25481,0.00767,0.00316,2.83826,5.45439,3.72205,0.000412844,0.000412844,0.000412844
2,3268.58,2.88305,4.14681,3.28662,0.41742,0.16638,0.10731,0.036,2.54377,5.42242,3.06193,0.000813086,0.000813086,0.000813086
3,4712.08,2.55655,3.34808,2.86655,0.79756,0.06193,0.03663,0.01153,2.39924,4.94313,3.08818,0.00119683,0.00119683,0.00119683
4,7004.44,2.3038,2.74341,2.62967,0.60597,0.46325,0.43678,0.21131,1.98223,2.60883,2.5839,0.00117575,0.00117575,0.00117575
5,8264.97,2.16295,2.44073,2.49991,0.58089,0.45772,0.48965,0.24784,1.81717,2.28879,2.4188,0.001151,0.001151,0.001151
6,9843.47,2.04319,2.11949,2.36932,0.68506,0.48401,0.56104,0.28762,1.81149,2.15415,2.34154,0.00112625,0.00112625,0.00112625
7,11421.9,1.9615,1.99534,2.27227,0.69409,0.64677,0.69893,0.36031,1.72271,1.70302,2.23442,0.0011015,0.0011015,0.0011015
8,13051.5,1.89928,1.87393,2.21939,0.6756,0.60353,0.6847,0.35873,1.70877,1.65743,2.2432,0.00107675,0.00107675,0.00107675
9,43484.2,1.84408,1.80595,2.14896,0.52745,0.58081,0.56894,0.29968,1.81376,2.02174,2.29991,0.001052,0.001052,0.001052
10,44976.1,1.79143,1.70653,2.11001,0.65492,0.70375,0.7373,0.36449,1.7905,1.58921,2.25506,0.00102725,0.00102725,0.00102725
11,46360.4,1.77752,1.63808,2.08041,0.69527,0.63084,0.65881,0.3454,1.6932,1.77992,2.17289,0.0010025,0.0010025,0.0010025
12,47701,1.75092,1.5968,2.04811,0.64665,0.67863,0.72311,0.3898,1.65549,1.79013,2.12981,0.00097775,0.00097775,0.00097775
13,49070.9,1.74651,1.54413,2.04536,0.75751,0.6771,0.76306,0.41597,1.64121,1.38779,2.09256,0.000953,0.000953,0.000953
14,50378.6,1.67633,1.51553,1.99184,0.81205,0.68299,0.75874,0.41059,1.6249,1.3727,2.07308,0.00092825,0.00092825,0.00092825
15,51759.4,1.65295,1.46948,1.94499,0.73083,0.69083,0.7339,0.38905,1.68751,1.42313,2.11757,0.0009035,0.0009035,0.0009035
16,53116.9,1.65709,1.43335,1.94746,0.67762,0.70161,0.75986,0.40111,1.68518,1.40036,2.11411,0.00087875,0.00087875,0.00087875
17,54360.3,1.62329,1.39464,1.93157,0.78242,0.70228,0.79831,0.45266,1.57654,1.28313,2.04967,0.000854,0.000854,0.000854
18,55637.3,1.62159,1.3651,1.91959,0.65248,0.63881,0.69268,0.38544,1.63286,1.7579,2.11063,0.00082925,0.00082925,0.00082925
19,56872.3,1.61231,1.40363,1.92268,0.6894,0.69842,0.74753,0.40642,1.63928,1.33496,2.08649,0.0008045,0.0008045,0.0008045
20,58159.4,1.57424,1.33615,1.87133,0.83138,0.71241,0.80339,0.45735,1.56582,1.26419,2.01547,0.00077975,0.00077975,0.00077975
21,59455.6,1.57265,1.31173,1.88471,0.85907,0.7251,0.81007,0.46232,1.56454,1.21708,1.99131,0.000755,0.000755,0.000755
22,60686.9,1.56231,1.26112,1.8708,0.85227,0.75137,0.83219,0.4746,1.54495,1.1702,1.99183,0.00073025,0.00073025,0.00073025
23,61883.3,1.5595,1.25053,1.86378,0.8401,0.73561,0.83252,0.46702,1.57062,1.20085,2.01868,0.0007055,0.0007055,0.0007055
24,63119.9,1.52443,1.24721,1.83782,0.80903,0.72499,0.80903,0.46369,1.54368,1.16004,1.95862,0.00068075,0.00068075,0.00068075
25,64210.4,1.5265,1.20117,1.83646,0.82939,0.79069,0.84873,0.49164,1.50778,1.09111,1.94107,0.000656,0.000656,0.000656
26,65278.5,1.49897,1.18514,1.82639,0.8013,0.77519,0.83778,0.48926,1.53245,1.10812,1.95788,0.00063125,0.00063125,0.00063125
27,66370.3,1.51252,1.15704,1.81446,0.83475,0.80727,0.86506,0.50822,1.50912,1.03745,1.93692,0.0006065,0.0006065,0.0006065
28,67434.6,1.50488,1.13671,1.79363,0.8394,0.75203,0.82435,0.48542,1.49118,1.10779,1.8969,0.00058175,0.00058175,0.00058175
29,68469.2,1.50363,1.14579,1.79324,0.79657,0.7854,0.83846,0.48356,1.53684,1.09073,1.95105,0.000557,0.000557,0.000557
30,69664.1,1.48516,1.1429,1.78156,0.79087,0.7804,0.84072,0.48432,1.56992,1.06231,1.9483,0.00053225,0.00053225,0.00053225
31,70876.1,1.48079,1.11747,1.77818,0.83225,0.77261,0.86139,0.50227,1.51315,1.03165,1.93311,0.0005075,0.0005075,0.0005075
32,72079.5,1.47047,1.08724,1.77879,0.82183,0.80212,0.86379,0.50636,1.52706,1.04,1.93454,0.00048275,0.00048275,0.00048275
33,73221.4,1.45793,1.08035,1.76964,0.8292,0.80404,0.86637,0.50461,1.51837,0.9984,1.93751,0.000458,0.000458,0.000458
34,74387.2,1.46474,1.07511,1.77833,0.79674,0.82134,0.86484,0.51976,1.49154,0.97545,1.89473,0.00043325,0.00043325,0.00043325
35,75521.8,1.45291,1.05073,1.75808,0.81879,0.84084,0.86769,0.49992,1.54568,0.9832,1.94213,0.0004085,0.0004085,0.0004085
36,76639.8,1.41777,1.03374,1.74942,0.82015,0.84953,0.88193,0.51889,1.49338,0.96772,1.90082,0.00038375,0.00038375,0.00038375
37,77854.1,1.4215,1.02578,1.73671,0.9012,0.8131,0.89224,0.52831,1.4729,0.93079,1.87077,0.000359,0.000359,0.000359
38,79054.8,1.40569,0.99298,1.71835,0.83477,0.82096,0.87673,0.51097,1.50278,0.94775,1.90675,0.00033425,0.00033425,0.00033425
39,80160.7,1.41286,0.99824,1.7078,0.81126,0.83889,0.88015,0.52953,1.4921,0.93891,1.90189,0.0003095,0.0003095,0.0003095
40,81284.7,1.38533,0.97816,1.71284,0.81333,0.84437,0.88294,0.51867,1.49673,0.92486,1.91247,0.00028475,0.00028475,0.00028475
41,82442.9,1.37613,0.89025,1.803,0.85204,0.8224,0.88796,0.52936,1.49394,0.92109,1.91076,0.00026,0.00026,0.00026
42,83635.9,1.37768,0.85208,1.81727,0.87141,0.82436,0.88712,0.53268,1.48528,0.89436,1.90523,0.00023525,0.00023525,0.00023525
43,84799.3,1.3315,0.83293,1.76893,0.87482,0.82542,0.88671,0.53769,1.45624,0.89713,1.87484,0.0002105,0.0002105,0.0002105
44,85942.2,1.32457,0.80308,1.75673,0.87775,0.83774,0.89177,0.54205,1.45067,0.8845,1.87539,0.00018575,0.00018575,0.00018575
45,87138.9,1.31305,0.78513,1.76128,0.87399,0.86168,0.9017,0.54192,1.46881,0.86194,1.88856,0.000161,0.000161,0.000161
